original_tokens,corpus_count,percentage,token_length
<velocity-80>,7190816,0.4400,1
<velocity-90>,7037553,0.4306,1
<velocity-110>,6628211,0.4056,1
<velocity-64>,6420335,0.3929,1
<velocity-85>,5680982,0.3476,1
<velocity-96>,5546886,0.3394,1
<velocity-95>,5503125,0.3367,1
<velocity-84>,5483650,0.3355,1
<velocity-92>,5438855,0.3328,1
<velocity-79>,5324877,0.3258,1
<velocity-88>,5241609,0.3207,1
<velocity-75>,5095205,0.3118,1
<velocity-82>,5086959,0.3113,1
<velocity-70>,5073844,0.3105,1
<velocity-104>,4925561,0.3014,1
<velocity-99>,4845667,0.2965,1
<velocity-94>,4819410,0.2949,1
<velocity-97>,4808566,0.2942,1
<velocity-107>,4794686,0.2934,1
<velocity-91>,4791040,0.2932,1
<velocity-72>,4786307,0.2929,1
<velocity-87>,4764047,0.2915,1
<velocity-120>,4744463,0.2903,1
<velocity-105>,4731156,0.2895,1
<velocity-98>,4721363,0.2889,1
<velocity-86>,4717862,0.2887,1
<velocity-102>,4717688,0.2887,1
<velocity-74>,4645741,0.2843,1
<velocity-76>,4627472,0.2832,1
<velocity-89>,4588266,0.2808,1
<velocity-73>,4511994,0.2761,1
<velocity-101>,4503007,0.2755,1
<velocity-93>,4484708,0.2744,1
<time-9999> <duration-17>,4461624,0.2730,2
<time-9999> <duration-22>,4410198,0.2699,2
<velocity-78>,4406863,0.2697,1
<velocity-60>,4404277,0.2695,1
<time-9999> <duration-21>,4367850,0.2673,2
<time-9999> <duration-23>,4355061,0.2665,2
<time-9999> <duration-12>,4315394,0.2641,2
<velocity-83>,4295007,0.2628,1
<time-9999> <duration-19>,4254313,0.2603,2
<time-9999> <duration-16>,4252694,0.2602,2
<time-9999>,4217658,0.2581,1
<time-9999> <duration-24>,4157514,0.2544,2
<velocity-108>,4155064,0.2543,1
<time-9999> <duration-18>,4149790,0.2539,2
<velocity-112>,4118956,0.2520,1
<velocity-81>,4106098,0.2513,1
<time-9999> <duration-15>,4103449,0.2511,2
<velocity-77>,4103209,0.2511,1
<time-9999> <duration-20>,4064313,0.2487,2
<velocity-115>,4062178,0.2486,1
<velocity-68>,4040917,0.2473,1
<time-9999> <duration-14>,4037803,0.2471,2
<time-9999> <duration-25>,4007516,0.2452,2
<velocity-106>,3933753,0.2407,1
<velocity-103>,3932680,0.2406,1
<velocity-114>,3922091,0.2400,1
<velocity-71>,3911803,0.2394,1
<velocity-100>,3905875,0.2390,1
<velocity-66>,3862928,0.2364,1
<velocity-67>,3848638,0.2355,1
<velocity-65>,3790890,0.2320,1
<velocity-117>,3773407,0.2309,1
<velocity-63>,3705980,0.2268,1
<velocity-69>,3687140,0.2256,1
